,id,type,name,canonical,cached_count,merger_id
94292,136512,Fandom,Harry Potter - J. K. Rowling,True,361919,
25,27,Fandom,Supernatural,True,310300,
230408,414093,Fandom,Marvel Cinematic Universe,True,240536,
1553725,3828398,Fandom,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,True,204096,
680695,1002903,Fandom,방탄소년단 | Bangtan Boys | BTS,True,203097,
168289,258526,Fandom,Teen Wolf (TV),True,172802,
679946,1001939,Fandom,The Avengers (Marvel Movies),True,157813,
92059,133185,Fandom,Sherlock (TV),True,151925,
5974,7266,Fandom,Marvel,True,147757,
494603,758208,Fandom,Haikyuu!!,True,130918,
2303,2692,Fandom,Original Work,True,105960,
11296,13999,Fandom,Naruto,True,105108,
70169,101375,Fandom,Star Wars - All Media Types,True,96000,
361336,586439,Fandom,Captain America (Movies),True,95654,
3051230,10104017,Fandom,Voltron: Legendary Defender,True,91692,
256021,449545,Fandom,One Direction (Band),True,68098,
81248,117807,Fandom,Homestuck,True,67200,
470439,727114,Fandom,The Avengers (Marvel) - All Media Types,True,66345,
149669,232768,Fandom,Merlin (TV),True,60314,
466212,721553,Fandom,Shingeki no Kyojin | Attack on Titan,True,60008,
358410,582724,Fandom,Miraculous Ladybug,True,55895,
156847,242462,Fandom,Game of Thrones (TV),True,54688,
224406,379999,Fandom,Once Upon a Time (TV),True,52584,
152219,236208,Fandom,Batman - All Media Types,True,50912,
2822574,9139561,Fandom,NCT (Band),True,50032,
333510,550814,Fandom,EXO (Band),True,48562,
3366633,11444638,Fandom,Yuri!!! on Ice (Anime),True,48158,
80260,116304,Fandom,A Song of Ice and Fire - George R. R. Martin,True,47683,
10583,13154,Fandom,Glee,True,47639,
21680,27785,Fandom,Doctor Who (2005),True,47614,
3499623,11987966,Fandom,魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,True,47441,
332,406,Fandom,Doctor Who,True,46930,
145040,226657,Fandom,Iron Man (Movies),True,46331,
1114,1331,Fandom,Stargate SG-1,True,45494,
159002,245368,Fandom,Thor (Movies),True,45033,
2077328,6048501,Fandom,Star Wars Sequel Trilogy,True,43778,
992421,1487281,Fandom,ジョジョの奇妙な冒険 | JoJo no Kimyou na Bouken | JoJo's Bizarre Adventure,True,43700,
10317,12845,Fandom,Hetalia: Axis Powers,True,43092,
1028765,1635478,Fandom,The 100 (TV),True,40599,
2194854,6541412,Fandom,Undertale (Video Game),True,39781,
676781,997960,Fandom,bts,False,39676,1002903.0
739269,1080663,Fandom,Dragon Age: Inquisition,True,39409,
79043,114591,Fandom,Good Omens - Neil Gaiman & Terry Pratchett,True,39153,
138651,218280,Fandom,Video Blogging RPF,True,39078,
1459394,3406514,Fandom,Overwatch (Video Game),True,38433,
1863531,5148298,Fandom,Supergirl (TV 2015),True,37968,
58,70,Fandom,Stargate Atlantis,True,37689,
306,370,Fandom,Good Omens,False,37433,114591.0
2271232,6856609,Fandom,Shadowhunters (TV),True,37331,
8693,10767,Fandom,One Piece,True,36981,
7166593,27251507,Fandom,Good Omens (TV),True,36865,
1533,1801,Fandom,Star Trek,True,36097,
73089,105692,Fandom,Sherlock Holmes & Related Fandoms,True,35328,
326268,541478,Fandom,The Hobbit - All Media Types,True,35221,
527604,801274,Fandom,Hannibal (TV),True,34990,
319,390,Fandom,DCU,True,34613,
571607,858574,Fandom,Dragon Age (Video Games),True,34111,
1544517,3763877,Fandom,BnHA,False,33805,3828398.0
374275,601802,Fandom,Star Trek: Alternate Original Series (Movies),True,33604,
587726,879346,Fandom,Agents of S.H.I.E.L.D. (TV),True,33562,
53,65,Fandom,Avatar: The Last Airbender,True,33306,
629350,933850,Fandom,Final Fantasy XV,True,32966,
165359,254648,Fandom,Minecraft (Video Game),True,31185,
8610139,33035890,Fandom,陈情令 | The Untamed (TV),True,30914,
814,951,Fandom,NCIS,True,30730,
6363562,23985107,Fandom,Fire Emblem: Fuukasetsugetsu | Fire Emblem: Three Houses,True,30565,
174731,266936,Fandom,The Avengers (2012),False,30056,1001939.0
1730440,4594871,Fandom,文豪ストレイドッグス | Bungou Stray Dogs,True,29722,
501944,767851,Fandom,RWBY,True,29160,
1925344,5407051,Fandom,Star Wars Episode VII: The Force Awakens (2015),False,28643,6048501.0
1129,1346,Fandom,Buffy the Vampire Slayer,False,27782,22001796.0
1720202,4551485,Fandom,SEVENTEEN (Band),True,27611,
15931,20027,Fandom,Avengers,False,27345,586437.0
139221,219012,Fandom,Transformers - All Media Types,True,27188,
1191516,2282814,Fandom,The Flash (TV 2014),True,27012,
4898890,17879139,Fandom,Sanders Sides (Web Series),True,26787,
547319,827055,Fandom,Dragon Age - All Media Types,True,26457,
309154,519363,Fandom,Kuroko no Basuke | Kuroko's Basketball,True,25742,
655332,969647,Fandom,DCU (Comics),True,25442,
58186,82576,Fandom,Batman (Comics),True,25357,
8088,9892,Fandom,Criminal Minds,False,25315,17792625.0
6153020,23172234,Fandom,Detroit: Become Human (Video Game),True,25166,
362434,587792,Fandom,Arrow (TV 2012),True,24705,
405980,643028,Fandom,MCU,False,24464,414093.0
1752,2031,Fandom,Supernatural RPF,True,24402,
4278,5178,Fandom,Bleach,True,23847,
97055,140327,Fandom,Saved,False,23620,44193.0
90378,130638,Fandom,Spider-Man - All Media Types,True,23611,
313124,524391,Fandom,Gravity Falls,True,23418,
70848,102330,Fandom,Les Misérables - All Media Types,True,22909,
577366,865923,Fandom,Free!,True,22684,
3210475,10778845,Fandom,Stranger Things (TV 2016),True,22613,
79826,115613,Fandom,Percy Jackson and the Olympians - Rick Riordan,True,22572,
5173011,19017606,Fandom,Stray Kids (Band),True,22327,
101171,146772,Fandom,Hawaii Five-0 (2010),True,22287,
10503,13058,Fandom,Hockey RPF,False,22226,17959080.0
535,641,Fandom,Star Wars,False,22019,101375.0
1028194,1633246,Fandom,Dangan Ronpa - All Media Types,True,21958,
1643521,4231202,Fandom,Persona 5,True,21922,
318,386,Fandom,The X-Files,True,21378,
486025,747342,Fandom,Star Wars: The Clone Wars (2008) - All Media Types,True,21336,
6904918,26177426,Fandom,MDZS,False,20948,11987966.0
949467,1356851,Fandom,GOT7,True,20844,
77,91,Fandom,HP,False,20687,136512.0
