creation date,language,restricted,complete,word_count,tags,Unnamed: 6
2016-08-28,en,False,False,5078036.0,22+541478+15918+126089+63182+12+741433+230931+2246+17+23+1602+14+38137822+38137825+38137828+38137837+2983730+42328198+42328204+13117459+42328363+3647276+45413647+45519082+5349292+5349295+5349394+46878331+49971995+49971998,
2014-06-22,en,False,False,4796066.0,23+14+15322+109011+108231+108232+186363+600534+607516+39401+130733+1002270+595280+41166+991804+130734+422771+61765+694890+3661880+4835470+12,
2018-07-14,en,False,False,4332910.0,1026+109503+12695+16+24754629+116+37259+11+7966+61+62+60+23654+22+21+2246+24+62544+1025+9001+2197+13457+13456+9003+13503+13528+24967683+13521+25002525+25002528+25021698+433+25394433+236159+250+1181+49319578+7416383,
2013-10-06,en,False,False,3817471.0,11+21+16+1133664+48012+48013+648995+16999+109045+168960+168965+168951+113882+160078+702261+425151+24885+178333+997946+501107+38222+29708+4798+1037902+473492+271899+822307+222887+222886+879643+181310+702262+608242+608240+608241+43359+48014+1140749+1140750+542158+1140751+1140752+1140753+18406+5367+52251+10042+10041+10052+1140754+1140755+13494+446079+1140756+167462+21253+1140757,
2019-12-18,en,False,False,3456587.0,12+3693074+14030081+10482076+8658412+8658409+12865177+3304433+143795+17890782+14+34797710+20038083+31686319+42486+50103+12426+775707+30075+454462+3989+7193+43019+83755+2314+39308+48004+25331+458122+1632+103132+18228411+18753972+14363675+11976119+18228408+58849+58036+12427+19855191+979326+201425+751587+18361113+11976101+25916+10061387+18358878,
2018-12-18,en,False,False,3312781.0,12+254648+13714235+19334348+557795+1275+28215407+5544441+224939+1805087+28215410+2246+24+17+18+19+130934+466319+35801+844+80391+243156+222446+5213251+120610+2442783+8930+274554+2462823+16031+986917+28352699+995958+65989+34355224+875001+189247+1135960+812162+2683785+51861540+52417+1225050+12312241+6932+55617+6933+1293945+15281972+929334+50439775+51861543+51861546+51861549+634+428575+26952215+8657+738645+66632+5008+207240+1225048+1225049+47633392+18851+11799025+80636+53871912+1280243+450346+115280,
2019-10-29,vi,True,False,3163926.0,5450+14+9,
2014-12-06,en,False,False,3085821.0,13+116+22+23+14+1001939+245368+586439+261582+7267+147933+147930+479357+129276+13631+13851+179176+15163+28108+3592823+1160+634+4359+74638+198+715972+40473+3592826+1100006+47716+457694+300872+1051054+3592829+273578+498733+475602+549039+3965654+320069+32197+2219872+5006641+14172+3175+80648+13507+35470+18059+252971+1376004+803968+727114+586437+250093+21+2246+24+1347141+8383354+8383357+87272+8383360+8383363+22447+417392+14605+74623+91358+651664+912887+38162+30327+1196566+855320+8383366+143795+8383369+3508871+8383372+8383375+10166+8383378+133579+83632+8383381+8383384+433028+1101904+12626827+12469564+16371273+16371276+47170+19556+644374+235057+18076+20163+20241+16371279,
2013-02-16,en,False,True,2853949.0,13+14+951+40167+6563+6560+6559+950+1056+109629+85649+88607+466489+8878+466488+62+176+2379+838321+838322+838323+661635+1011+3530+78318+962445+220315+50087+1301429+2449980+2246+3482156+116+22+23+4847,
2020-10-17,en,False,False,2598127.0,11+13999+2927+6276+2246+17+61,
